First,Second,Third,Fourth
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
0.00000e+00,9.22373e-06,-3.09891e-07,-1.48747e-04,-2.53743e-05
